昔比 黄花 笑 易安|今歌 白纻 一生 酸|玉台 朝蕣 何由 写|兀坐 凝思 任墨 干
潮回 尽处 晓 江清|百丈 滩头 舟子 情|饶我 静观 黄卷 罢|为渠 卧看 白云 轻
渴饮 金波 数百 钟|醉时 仗剑 指 虚空|脚根 戏蹑 交 干斗|长啸 一声 天地 红
圣泽 如 垂饵|沙场 会 息兵|凉风 当 为我|一一 送 砧声
身随 云 共远|梦与 汝 同居|何日 秋风 夜|灯窗 听 读书
风尘 无 去住|时序 有 推迁|剩得 江 山在|春游 思 杳然
大婚 曾有 祝|叶梦 果 熊罴|悬矢 芝兰 室|试声 龙凤 池
雨麦 浑漫 垄|风梅 已退 妆|高鸿 望 燕塞|飞疾 不成 行
黄花 漠漠 弄 秋晖|无数 蜜蜂 花上 飞|不忍 独醒 孤 尔去|殷勤 为折 一枝 归
往年 经夕 共 杯盘|轻别 无端 约屡 寒|倘得 乘风 归去 便|穷山 冷月 让 人看
少孺 高 飞檄|长卿 羡 著书|兼才 应自 见|奏绩 勒 医闾
戎马 奔忙 日易 斜|风尘 荏苒 一 长嗟|荒村 寥落 炊烟 绝|愁听 垂杨 噪 暮鸦
不辞 暑汗 透 冠裳|亟拜 灵祠 为 亢阳|与佛 有缘 凭 佛力|于心 无愧 爇 心香
啄兔 青骹 直下 飞|霜云 惨惨 楚枫 披|秋林 月迥 闻 樵斧|晚市 风沈 见 酒旗
别我 向 何处|临歧 殊 怅然|群夷 濠镜 宅|千里 火轮 船
宦途 漂荡 似 浮萍|又到 棠阴 邵伯 城|亲老 转添 衰鬓 白|妻儿 犹免 智囊 生
巉绝 千峰 玉|清妍 五字 诗|胸中 盘 爽气|彷佛 几人 知
懒执 归途 酒 一卮|马蹄 忙处 意 偏迟|芒鞋 已负 西山 约|何日 匡庐 识面 时
寒空 金锡 响|欲过 渭阳 津|极目 多 来雁|孤城 少 故人
扪萝 不足 惮|策杖 独 言从|数里 闻 流水|双林 过 午钟
封疆 万里 等闲 开|一日 千金 不吝 财|持语 无名 求 贡者|何须 更入 右 银台
采药 松冈 近|投竿 荻浦 通|悠然 搔 短发|心事 寄 冥鸿
市镇 邱墟 后|重来 独 怆神|一花 开 破屋|五里 半 流民
小醉 归来 处|陶然 度 夕阳|一溪 波 汎汎|半岭 树 苍苍
何期 风笛 离亭 外|难挽 行骢 古驿 前|他日 高轩 频 过我|休教 忘却 旧 因缘
呵手 仍烦 长袖 护|褰帷 时取 故书 看|韭芽 细煮 松醪 熟|可少 同心 话 岁阑
仙籍 虽通 未便 收|苏家 旧例 是 黄州|金莲 一夜 春风 引|还向 钧天 梦里 游
往矣 依依 柳|维之 皎皎 驹|明朝 回首 望|烟树 隔 程符
一瓮 香醪 新插 刍|双鬟 小妓 薄 能讴|管弦 渐好 新 教得|罗绮 虽贫 免 外求
炎凉 虽 世态|不信 在 同舟|自去 梁间 燕|真同 水上 鸥
潢潦 飞櫩 外|洪波 古堞 前|山收 玄豹 雨|江展 白虹 天
客计 风烟 里|归心 鸿雁 前|坐深 还 灭烛|几度 不成 眠
幽事 每 堪娱|秋深 晚霁 初|帆分 江影 破|风勒 鸟行 疏
床头 周易 用心 来|旧卷 经年 病 不开|到得 初冬 梦 颜子|欠伸 俄健 起 寻梅
气节 标 南岳|词华 光 北台|政闲 公府 静|棋局 与 茶杯
落照 林烟 白|吹沙 野渡 黄|可怜 天 上水|空为 客 苍茫
邻竹 肩舆 过|春云 席帽 斜|兵戈 未须 念|源水 秘 桃花
红罗 抹额 坐 红鞍|阵逐 黄旗 拨发 官|秋戍 卢龙 番 鼓哑|夜屯 白马 虏 星寒
雉避 风藏 深草 谷|鹿知 寒下 向阳 坡|授衣 时节 豳 诗咏|蒿目 民艰 竟 若何
羊仲 联 三径|龟书 抵 十朋|年来 闲 讨论|时得 问 多能
浮云 聚散 俱 关虑|明月 相逢 好 展眉|既兆 未萌 闲酌 度|不如 中抱 是 寻思
柳弱 不堪 扶|春愁 剧 鹧鸪|翠烟 三月 尽|红雨 一庭 芜
莫进 黄金 簟|新除 玉局 床|春风 送 庭燎|不复 用 沈香
悬军 翻虑 为 猿鹤|列阵 徒闻 仿 鹳鹅|自是 军谋 要 持重|几时 奏听 凯旋 歌
百年 功业 自 天开|化洽 周南 陋汉 才|朱鸟 每从 东海 获|白禽 还自 越裳 来
剑关 云栈 乱 峥嵘|得丧 何由 险与 平|千载 龟城 终 失守|一堆 鬼录 漫 留名
苔藓 碑漫 字 断章|休将 汉事 费 评量|兴亡 付与 东 流水|留得 荒祠 一 瓣香
万井 风烟 接 茂林|春云 欲坠 掠 清涔|萧萧 韵响 窗前 竹|点点 声沈 石上 琴
陈未 亡时 柏 已苍|风来 历历 说 兴亡|世臣 元不 如 乔木|阅尽 中原 几 战场
两崖 回合 处|仄磴 下 肩舆|芳草 青 粘屐|晴云 淡 曳裾
水平 真欲 见 秋毫|碧海 无人 掣 巨鳌|多谢 西风 卷 烟雨|肯来 湖面 作 波涛
风花 秋 黯澹|云叶 雨 连绵|昔日 君臣 意|深符 卜洛 年
野客 留 方去|山童 取 药归|非因 入朝 省|过此 出门 稀
天因 人日 暖|春以 酒杯 长|得似 斜川 否|开年 第一 觞
抚字 多闻 政 治平|分符 又喜 向 通城|沂州 民吏 思 遗爱|京国 交游 动 别情
龙为 人 听法|僧共 鹿 寻幽|如此 林泉 乐|荣名 安足 求
帘影 隔 朝暾|云低 昼 尚昏|山形 分歙 翠|溪色 到江 浑
桃源 欲入 为 鸡犬|湘泽 无心 采 芷茳|队队 征鸿 尽 南向|飞鸣 急遽 不成 腔
破例 不妨 同 市侩|买花 毕竟 是 骚人|当年 玉鼻 谁书 券|笑步 东坡 马 后尘
曲江 江势 旧 回肠|况复 秋心 对 夕阳|林气 带霜 犹隐 郭|水痕 侵岸 欲平 樯
带月 开头 罟 客喧|江风 怒号 雨 翻盆|长涛 乍涌 天 兼合|古岸 欹悬 昼 欲昏
春花 应 尚好|归棹 较 谁先|独对 端 溪月|怀人 寄 短篇
斜雨 逆风 昏 旧字|是中 能有 几人 知|未言 温室 栽何 木|先向 忠州 教 竹枝
学海 君 能至|为山 我 未成|受田 如古 制|应伴 野夫 耕
一封 云汉 飞 金诏|万国 君王 朝 玉宫|四合 相连 几 千里|熊罴 封入 我 牢笼
木棉 临水 烂 红霞|躞蹀 何之 白鼻 騧|傍岸 每嗔 童子 上|插瓶 渠为 采 山茶
去意 浮 长汴|离怀 咏 晓灯|明时 非 不遇|幽黜 坐 无能
坐禅 山店 暝|补衲 夜灯 微|巡礼 何时 住|相逢 的是 稀
能促 岁阴 惟 白发|巧乘 风马 是 春光|何须 化鹤 归 华表|却数 凋零 念 越乡
太素 风流 难 入画|半酣 颜色 最 禁诗|平生 鼎鼐 心知 在|且共 西堂 雪夜 卮
炫奇 长庆 有 宗师|佶屈 聱牙 绎守 池|上士 诠言 浑不 会|空留 寱语 恫 愚痴
漫忆 千株 杏|空馀 五色 烟|终然 脱 尘网|来诵 绿苔 篇
触目 成 幽兴|诗吟 十 数篇|风倾 竹 上雪|鸟度 水 中天
悠悠 远水 李 膺舟|漠漠 馀寒 季子 裘|隔岁 梅花 新旧 恨|入春 山色 古今 愁
冻云 凝墨 水 笼烟|塞上 轻寒 欲雪 天|早识 文名 夸 洛下|喜传 诗礼 到 梅边
气谊 生 无间|文章 合 有神|毋徒 涉 城市|出处 任 风尘
舜禹 昔 禅位|曾将 易 问蓍|即知 重 八卦|已自 伏羲 时
九节 菖蒲 采 极难|殷勤 来自 武夷 山|去年 苞寄 分 同好|今日 栽成 忍独 餐
芳魂 早逐 葬 花去|苦命 特为 还 泪来|豆蔻 年华 因爱 死|可怜 未见 好怀 开
故人 过我 竹边 居|谈笑 从容 乐 有馀|洗盏 共尝 春瓮 酒|挑灯 对读 夜窗 书
青草 明妃 冢|黄云 属国 营|盛年 经 此地|往事 肯 伤情
小驿 孤城 外|阴森 草树 幽|晚凉 凭 水榭|秋雨 坐 江楼
一身 唯一 室|高静 若 僧家|扫地 留 疏影|穿池 浸 落霞
登临 聊尔 策方 筇|山色 初开 烟际 容|为爱 晴岚 依 弱柳|况闻 幽梵 发 清钟
云侵 坏衲 重 隈肩|不下 南峰 不记 年|池里 群鱼 曾 受戒|林间 孤鹤 欲 参禅
入夜 青萍 合|连云 碧树 新|空为 可怜 语|天际 竟 谁陈
夜饮 朝歌 昼 未眠|轻狂 全是 倚 娘怜|妮他 细语 挑 针线|替我 排愁 肄 管弦
烟水 寻常 事|荒村 一钓 徒|深宵 沉醉 起|无处 觅 菰蒲
东西 流 不驻|白日 与 车轮|残雪 半成 水|微风 应欲 春
道上 人家 梅子 枝|背春 还复 叶 离离|诗翁 触物 俱 归思|不用 风前 叫 子规
径草 细将 合|溪流 深不 喧|幽怀 未能 惬|城郭 已 朝暾
净中 云 一点|回处 雪 孤飞|正好 南枝 住|翩翩 何所 归
禅榻 聊探 梦|僧传 不落 杯|山泉 浇 苦茗|炉火 拨 寒灰
客撑 小艇 招 垂钓|僧扫 虚窗 约 对棋|宝带 貂冠 虽 看好|定知 不入 野人 诗
扁舟 依 采石|怅望 谪 仙人|我独 船头 坐|江流 月色 春
尖尖 长 握固|香玉 一拳 多|响定 含金 琐|纹疑 有玉 螺
迷茫 海月 幻 高台|万顷 琼田 一镜 开|素袂 风生 空 怅望|清涟 雪涌 莫 惊猜
结构 湖亭 意|秋风 生 水滨|宁知 此情 古|翻使 得名 新
士萃 东南 秀|诗标 主客 图|流传 千载 后|真不 愧 欧苏
熔裁 已叹 搜 麟角|叠咏 殊钦 拔 虎牙|骨格 清奇 幽韵 隽|先生 本亦 一 梅花
曾同 太守 行 红旆|更与 高僧 别 翠微|近报 南台 多 辟荐|殿前 早晚 赐 朝衣
一夜 溪山 雪|乾坤 似 玉壶|捲帘 孤坐 处|佳境 入 诗无
漂泊 留 旁郡|烦人 久 厚颜|强求 微禄 去|未得 故乡 还
山下 深林 起 白云|白云 飞处 断 红尘|伴行 直到 高峰 上|舒卷 纵横 不碍 人
潮打 城头 去复 还|石尤 风紧 浪冲 船|铛鸣 沸水 千珠 白|凫浴 回波 万颗 圆
寻梅 箬帽 履 何素|煨芋 山炉 火 自红|独坐 书床 闲 料理|三春 云物 会 昭融
阳羡 诸峰 顶|何曾 异 剡山|雨晴 人 到寺|木落 夜 开关
苦饥 黄鹄 犹 谋食|无事 轻鸥 得 远飞|落日 秋风 满 江汉|杖藜 三叹 未能 归
湖上 西风 吹 绮罗|靓妆 越女 照 清波|折将 莲叶 佯 遮面|棹过 前滩 笑语 多
日午 时阳 露未 干|抚桐 指甲 怯 春寒|葵心 解语 浑 含笑|蝴蝶 频飞 觅 合欢
延颈 全同 鹤|柔肠 素 怯猿|湘波 无限 泪|蜀魄 有馀 冤
初岁 开韶 月|田家 喜 载阳|晚晴 摇 水态|迟景 荡 山光
河山 表里 本 天成|寄语 贤王 建树 宏|朝汉 尉佗 犹有 志|帝秦 新衍 竟何 名
虽未 登 三十|知君 已 几年|先师 斧 修月|名父 柱 擎天
醉携 神女 跨 双龙|重向 元丘 访旧 踪|露是 酒香 云 酒气|月明 上界 第 三峰
玉殿 闻 春到|罗衣 照地 红|君恩 深 汉帝|不惜 舞 东风
濡毫 忽听 山僧 语|题柱 须防 县令 嗔|只道 衣冠 专 世态|炎凉 也属 不毛 人
晚吹 清泠 雕 万木|残霞 红澹 映 三峰|为怜 今岁 于中 稔|欲遣 儿孙 亦 务农
闭户 都成 罪|仇书 岂 近名|含沙 工 射影|鼓舌 欲 烧城
季世 炎凉 几 市道|古人 生死 见 交情|与公 到老 宜 同社|倡率 乡人 逊畔 耕
琴传 别鹤 愁中 曲|月度 归鸿 梦里 船|此去 石山 寻 旧隐|好倾 银汉 灌 芝田
葬汝 先人 墓道 西|白杨 多处 作 幽闺|若知 汝父 长 相忆|莫向 黄泉 汝母 啼
极目 三封 日易 斜|无因 重守 故 庭花|春阴 又是 怜 花草|燕子 飞来 知几 家
诗坛 谁复 话 先登|地下 修文 注 未曾|玉树 照人 翻 落寞|金声 掷地 尚 鏦铮
鲁港 停舟 处|相逢 故老 谈|河鱼 时 泼剌|江燕 又 呢喃
锄奸 未办 烦 温造|督战 聊应 问 石雄|行遍 江南 好 山水|不妨 仍在 啸 吟中
刀州 城北 剑 山东|甲士 屯云 骑散 风|旌旆 遍张 林岭 动|豺狼 驱尽 塞垣 空
明月 清风 不用 钱|谪仙 吟思 浩 无边|此清 若也 钱 能买|金谷 人须 胜 谪仙
愚如 伯鲁 非忘 旧|归愧 渊明 未觉 今|珍重 主人 临别 意|谩依 新韵 献 微吟
竹雨 深 宜晚|江梅 半 欲开|风灯 挑不 焰|寒火 拨 成灰
满城 尘土 污人 甚|出郭 青山 入眼 多|拏取 小舟 烟雾 里|此生 真个 老 渔蓑
维舟 天际 晚|孤泊 问谁 曾|列宿 森 虚壑|疏帘 入 远灯
艳夺 朝 霞段|香传 冰 麝脐|飘然 凡 境外|初有 乳 莺啼
仿佛 维摩 示疾 身|药炉 经卷 日 横陈|即看 饮食 皆 多事|渐苦 形骸 亦 累人
百钱 都市 未全 贫|华发 飘飘 白氎 巾|眼底 乾坤 堪 玩世|壶中 日月 好 藏身
不待 丹砂 入 颊红|长生 元复 自 阴功|但令 仁与 甘棠 似|甲子 三周 会见 公
格是 厌厌 饶 酒病|终须 的的 学 渔歌|无名 无位 堪 休去|犹拟 朝衣 换 钓蓑
直竖 须弥 柱|恒安 太极 楹|青天 为盖 覆|庵主 乐 无生
可怜 人世 似 蜉蝣|谁识 真还 借 假修|不学 换心 求 换骨|青山 依旧 葬 骷髅
谷鸟 鸣声 滑|山云 变态 新|清渠 不没 胫|亦有 浣纱 人
山中 馀酒 尚留 卮|便纵 乡心 出水 湄|风拂 一双 相 逐燕|林抛 三百 未 残棋
朝朝 起作 桐江 钓|昔昔 梦随 辽海 尘|恨杀 南朝 道学 盛|缚将 奇士 作 诗人
罪过 渠侬 商略 秋|从朝 至暮 不曾 休|莫嫌 入夜 还 休去|自有 寒蛩 替说 愁
近水 晚逾 碧|远山 秋 未黄|夕阳 寒 满地|松影 落 衣裳
平居 近 舜尧|雅抱 接 风骚|更趁 重阳 节|来邀 九域 豪
烟暝 小窗 萤火 碧|雨昏 幽径 蓼花 红|谪居 始信 为儒 苦|生计 兼无 一亩 宫
崇岩 立壁 知无 欲|韵字 撑肠 出有 棱|想见 江声 时 入户|闲鸥 野鹭 自为 朋
怀道 初 名世|乘时 遂 致君|平分 百年 算|中据 两台 文
蝴蝶 飞 何乐|华胥 梦 可温|周公 应不 远|心事 得深 论
满载 寒花 玉气 浮|野航 一个 小于 瓯|晓来 试上 城头 望|碧海 金山 两 白鸥
谁驱 斗柄 向 东迁|渐喜 新年 胜故 年|岁纬 移躔 东井 外|狼星 敛角 左参 边
亲王 代祀 抚 松楸|玉座 金门 敞 素秋|日月 丽文 深 睿想|风云 齐仗 俨 神游
平时 衮衮 向 诸公|投老 犹推 作郡 公|未觉 朝廷 疏 汲黯|极知 州郡 要 文翁
好诗 来 枕上|爽气 满 人间|极目 崇台 晚|遥天 一鹤 还
璧月 河山 窥 不得|芜城 粉本 已 全销|有谁 更画 迷楼 路|不遣 诗人 恨 寂寥
孤山 花 已老|片片 受 风吹|莫叹 凋残 去|曾夸 烂熳 时
鬼神 即物 以为 名|屈则 无形 伸 有形|一屈 一伸 端 莫测|可窥 二五 运 无停
讲道 切磋 直|忘怀 笑语 真|重言 蒙跖 实|佩服 敢 书绅
蔼蔼 烟云 望眼 昏|乱红 翻径 绿 遮门|一声 啼鸟 在 何处|山外 人家 桑柘 村
身是 芭蕉 喻|行须 筇竹 扶|医王 有 妙药|能乞 一丸 无
腐肉 填鸱 素|华轩 载鹤 身|闭关 吾 有谓|当路 彼 何人
几回 欲去 醉 花傍|此事 如今 转 渺茫|不独 哦诗 吊 金谷|更令 掩袂 忆 刘郎
书院 清寒 续 继喑|名山 最怕 释家 寻|一从 改辟 为 禅寺|香火 熏天 闹 到今
戏笔 偶然 成此 耳|直将 造化 论 锱铢|不知 茂叔 庭前 草|有此 风烟 一段 无
白云 深处 古 田家|谷雨 新晴 课 种麻|我亦 芒鞋 间 不得|满山 开遍 碧 桐花
裙腰 一道 撩 飞蝶|钗股 千茎 衬 落英|莫把 官袍 论 颜色|年年 空惹 路尘 轻
山峰 横 二室|水色 映 千门|愁见 游从 处|如今 花正 繁
行路 不辞 远|来寻 高隐 贤|水田 村 舍外|书屋 木 桥边
计碍 渔 家艇|烽明 古 佛龛|翻怜 太平 日|无用 是 烟岚
柳丝 春展 暗 禽巢|识面 东风 是 旧交|蝶扑 似能 清客 梦|莺簧 何事 向人 呶
僻学 固应 知者 少|长歌 莫问 和予 谁|自嘲 自解 君毋 怪|老大 从人 百 不宜
奔逸 君诚 俊|衰摧 我不 聊|嗜书 甘 寂寞|破敌 看 嫖姚
荻花 芦叶 满 溪流|一簇 笙歌 在 水楼|金管 曲长 人 尽醉|玉簪 恩重 独 生愁
病鹤 寒 弥瘦|孤松 老不 枯|非关 畏 轩冕|本自 乐 江湖
人厌 尘嚣 欲学 仙|上天 官府 更 纷然|不如 啸傲 东篱 下|且作 人间 过数 年
宝剑 夜长 鸣|金痍 老 未平|指弓 夸 野战|抵掌 说 番情
力怯 藏 山泽|心惊 变 海田|春王 有 正月|流俗 妄 相传
玉露 初团 入夜 清|澄江 如练 月如 晶|无边 秋色 随风 乱|不尽 山光 到 水明
十月 潇湘 尽放 梅|南枝 仍避 北枝 开|客愁 无奈 春 消息|肠断 江南 驿使 来
浪对 客吟 思 却虏|偶观 人弈 悟 筹边|夜来 风雨 秋声 早|一段 新愁 雪满 颠
梦觉 号呼 攧鹞 风|忽惊 肤粟 似 深冬|凄凉 敛白 收红 后|頼有 春醪 琥珀 浓
梦回 桑下 馀 三宿|兴到 梅边 又 一春|鹄立 县衙 还自 幸|得随 簪笏 望 枫宸
炭炽 寒 犹在|灯残 雪 更明|独怜 分手 去|一骑 上 边城
喜君 衣锦 还乡 日|正是 皇州 得雨 时|新水 拍河 催 画鹢|祖筵 呼酒 系 青丝
圣皇 学问 富 春秋|当宁 宵衣 渴 壮猷|鹄立 银袍 天 北阙|龙飞 金榜 殿 西头
酒伴 曾 谁访|诗狂 还 自怜|经过 杨 执戟|许寄 买山 钱
明月 几时 有|黄州 无此 哀|已沉 天阙 尽|谁放 桂花 开
州阁 纡 新绶|乡枌 历 故廛|先驱 长卿 贵|随子 大家 贤
绿泻 当庭 一榻 清|东风 无力 动 帘旌|竹炉 初暖 茶烟 细|静听 楸枰 落子 声
结庐 恰恰 对 西亭|万物 昭回 自 赋形|秋晚 不妨 寻 好处|何须 送客 话 飘零
岩关 横绝 处|石栈 曲 盘盘|寒月 临 江白|悲笳 入 夜阑
珠玑 错落 题襟 集|风雨 苍凉 宝剑 篇|弹指 香山 馀 五老|披图 眉宇 重 凄然
独立 无朋 但 任真|不持 身势 掩 君亲|若将 坤体 论 臣道|公是 朝廷 第一 人
阳进 升 君子|阴消 退 小人|圣君 南面 治|布政 法 新春
自从 为 楚客|不复 扫 荆扉|剑共 丹诚 在|书随 白发 归
清宵 百里 泛 湖天|犹忆 当年 访戴 船|此日 相看 浑似 昔|争知 岭外 别 风烟
贯籍 明光 殿|颐神 通德 门|庆源 来 化鹤|高隐 谢 惊猿
梦落 吴蚕 欺 白茧|心随 代马 恋 征衣|凤池 踪迹 逡巡 到|未忍 飘零 拂 钓矶
东瀛 梅鹤 继 西湖|好向 孤山 认 故吾|海国 几人 扶 大雅|蛮乡 从此 获 骊珠
汪伦 歌彻 桃花 水|司马 泪倾 枫叶 秋|我亦 年年 思 乐土|却无 计觅 武陵 舟
雨湿 云根 燕 不声|离魂 消处 一 长亭|因思 南浦 江淹 笔|草绿 波光 是 此情
暗引 石池 波 宛转|暖蒸 苔壁 气 氤氲|解衣 盘礴 南 窗下|骨肉 都融 到日 曛
岁晏 坐 伊川|孤襟 日 惘然|无功 堪 载策|有路 即 妨贤
御气 逍遥 汗漫 行|群仙 无意 理烦 纷|浅深 东海 寻常 事|何况 区区 五亿 金
诗至 中唐 众体 溉|各需 人力 各 天才|就中 七绝 真 关隘|多少 名家 度 不来
舞枥 贪 飞将|呼刍 忆 大荒|人间 原 未识|天上 宿 为房
囊空 如 客路|屋窄 似 僧寮|得饭 多 菰米|烹蔬 半 药苗
武担 残山 草树 傍|晚登 蹀躞 似 平冈|云容 流过 锦江 碧|月影 飞还 石镜 凉
已忝 胪传 魁 众俊|复叨 燕衎 逮 微臣|终身 祗佩 丁宁 训|远到 功名 愿 自珍
鸥盟 正尔 隔 千里|鹤梦 何曾 到 九衢|茅屋 春寒 明月 夜|梅花 曾与 寄声 无
水国 秋清 潮 半生|越王 台殿 锁 荒城|西楼 一夜 思归 客|斜倚 朱栏 独听 笙
神物 不知 昆 火烈|碧丝 今对 玉 堂卿|眼中 多少 兴亡 事|白发 孤臣 最 怆情
玉笋 谢 朝班|西风 海国 寒|无人 知 苦节|落日 下 长安
金碧 翔 霄表|虬龙 压 石头|长安 称 雁塔|此亦 旧 皇州
鸡鸣 平旦 未为 迟|恰是 山房 睡觉 时|著屐 起寻 溪上 路|野梅 犹有 未 残枝
浮湘 孤月 下 灵渠|牢落 残魂 伴 索居|庚子 日斜 闻 野鸟|端阳 沙淈 见 江鱼
月桂 夜长 迷 玉兔|银河 秋尽 隔 牵牛|云山 十二 窝 头路|多谢 先生 梦寐 求
德曜 宅前 今 独去|平津 门下 旧 相招|重来 莫在 花开 后|拟听 狂歌 醉 几朝
宫样 鹅黄 绿带 垂|中州 未省 见 仙姿|只疑 湘水 绡机 女|来伴 清秋 宋玉 悲
湖平 秋水 碧|桂棹 木兰 舟|一曲 菱歌 晚|惊飞 欲下 鸥
簪缨 朝罢 天 初曙|退直 归来 日未 斜|嬴淂 一生 心 自在|愧无 才德 报 皇家
南北 云山 赋 远游|白头 终老 晋 阳秋|千篇 留得 平生 稿|半似 苏州 半 郢州
借问 哦诗 记 幽梦|何如 把酒 对 东篱|不然 采向 林逋 庙|并与 寒泉 荐 一卮
德大 无如 孝|尧因 禅 侧微|如何 五载 后|不向 九疑 归
春变 烟波 色|晴添 树木 光|龙泉 信为 美|莫忘 午桥 庄
昔人 浮 一叶|我辈 上 层台|斗酒 兼 鱼至|东山 送 月来
眷此 栽花 地|而多 种秫 田|桔槔 偏 不用|鼓腹 乐 尧天
官职 卑微 从 客笑|性灵 闲野 向 钱疏|几时 身计 浑 无事|拣取 深山 一处 居
遁迹 芝 山寺|长年 不出 龛|行深 忘 色相|客至 但 和南
星月 频惊 夜|南飞 欲傍 谁|占风 来 善地|择木 得 高枝
秋风 昨夜 透 青衿|吟动 还乡 一片 心|宦迹 眼前 云 漠漠|客情 江上 月 沉沉
白石 歌中 烂|黄金 赋里 成|待逢 尧舜 世|方拟 学 长生
自笑 丛残 亦 守残|此心 销在 鬓丝 间|往生 乌托 无 何有|待防 明夷 去 却还
木落 骚人 已 怨秋|不堪 平远 发 诗愁|要看 万壑 争 流处|他日 终烦 顾 虎头
海上 寒威 迫|寰中 战气 酣|书来 知 病讯|诗好 抵 清谈
鼔角 城头 当 落日|楼台 天上 敛 残霞|不须 却羡 龙山 会|定少 林光 似 若耶
穿径 篁 争出|窥人 鸟 一鸣|野僧 癯 似鹤|相揖 淡 忘情
征人 万古 没 胡中|百战 难收 一战 功|陇上 长愁 云 不断|何年 重向 玉关 东
黔郡 随山 壤|卢溪 上水 舟|双眸 长不 夜|两鬓 未全 秋
今宵 只有 岁星 明|织女 银河 渡 未成|欲为 吾兄 酌 天酒|碧梧 枝上 露华 清
仰空 青 荫密|扫石 绿 花斑|傍涧 牵牛 饮|白头 翁 自闲
古驿 杨林 路|重来 十 六年|断云 村口 寺|残雨 海中 船
一诺 休轻 许|千金 未是 恩|年来 长 送客|此意 不曾 论
是真 是假 认 前身|描就 遗容 不染 尘|归到 头来 都是 假|何妨 假者 奉 为真
红蓼 丹枫 原是 伴|苍葭 白露 定需 君|衔杯 竟欲 呼 穷士|风起 寒漪 易 夕曛
烟莎 一径 小|洲岛 四邻 疏|独有 为儒 者|时来 吊 旧庐
早捧 诸侯 檄|新登 九列 丞|庇身 聊 制锦|受命 更 怀冰
长信 梦回 欹枕 处|琐闱 吟罢 倚阑 时|东风 空费 如簧 舌|不道 明廷 有 凤仪
无私 奉献 竞 妖娆|舞后 歌皇 秀 一遭|最是 曲终 人 不见|数峰 青并 债台 高
茅屋 开山 脚|岚光 映日 光|行人 消 野兴|个个 醉 壶觞
玄都 桃是 旧时 花|曽驻 春游 送客 车|翰墨 尚看 延 阁老|松萝 长护 羽 人家
逼近 高堂 侧|精营 一 小轩|退思 扃 竹径|防客 破 苔痕
云压 万峰 低|秋江 晚树 迷|篮舆 凌 木杪|驿路 挂 城西
日夜 飞帆 与 跨鞍|阊门 川陆 路 漫漫|人生 自苦 身 馀几|天色 无情 岁 又寒
寒出 防 优逸|诗情 非 浩然|烟浓 山 失色|云重 雪 连天
不见 李生 久|联翩 热浪 来|白窥 明月 背|雄饮 夜光 杯
悲秋 谁 作赋|病客 反思 秋|赤日 高 如许|金风 不 可求
天下 慢 朝周|君王 瑶 水流|一朝 规 问鼎|千里 御 还骝
里仁 无 外事|徐步 一 开颜|荆玉 收 难尽|齐竽 喜 暂闲
石井 腾 曦驭|瑶坛 布 斗枢|愿将 皇极 福|敷锡 遍 康衢
北戎 轻 用武|西汉 重 开边|币帛 毫芒 费|生灵 百万 全
绝壑 天藏 古洞 幽|禅堂 深夜 一灯 留|云边 露湿 孤峰 净|树杪 风含 万籁 秋
归客 北边 关 柝击|过军 西畔 寨 灯明|巍巍 殿帐 毡房 暖|衣铁 冷深 更鼓 鸣
古邑 西门 外|烟村 远 市廛|呼鹰 白草 际|调马 绿杨 边
散绮 霞 依日|摇金 月 委波|胜游 非 易得|不饮 欲 如何
素瑟 清尊 迥 不愁|柁楼 云物 似 妆楼|夫君 本自 期 安桨|贱妾 宁辞 学 泛舟
自得 山川 秀|能分 日月 精|巾箱 各 珍重|所贵 在 交情
把别 当 春半|还期 应 麦秋|卜居 无 片土|前路 一 孤舟
风头 日 萧索|爽气 自 西岑|暝戍 有传 鼓|寒城 无罢 砧
看山 对 明镜|濯足 起 飞鸥|还载 一壶 酒|相寻 贺监 游
鱼城 人喜 景星 出|象滪 猿惊 仙仗 移|七十 老翁 怕 趋走|峡江 亭上 倍 临歧
坚坐 忘 昏旦|残年 迫 耄期|尚馀 书 满屋|手校 付 吾儿
夹道 青青 柳子 春|自从 栽植 几番 新|如今 已作 参天 树|应笑 衰迟 老 主人
此日 忘 疏远|明公 实 见存|扪参 怀 蜀道|叱驭 忆 王尊
治安 策好 竟 谁怜|辜负 瑶华 十万 笺|有限 文章 教 虱诵|无聊 人物 付 诗传
寒气 却回 侵 暖律|阴云 徐上 蔽 晴晖|近来 四序 皆 无主|欲向 东皇 问 是非
人去 梨花 冷|堂空 燕子 闲|韶华 不 相待|挥涕 几时 干
灯痕 柳影 浑如 旧|今夜 还疑 梦里 来|相对 缘何 无 一语|恐惊 身后 亥 灵胎
身已 龙钟 不出 村|尚能 抱瓮 灌 蔬园|瓦盆 甚朴 常 盛酒|茅屋 虽低 可 负暄
赤甲 白盐 秋气 多|黄棱 黑石 沸 漩涡|惊闻 楚客 吟 山鬼|欲趁 巴童 拜 浪婆
古砚 蟾蜍 滴|文屏 薤 叶书|世间 多 倚伏|休叹 橐 中虚
玉阙 颁 新命|金符 重 旧臣|壮心 持 使节|枯骨 感 皇仁
笋舆 轧轧 乱 山中|篱落 桃花 泼 眼红|小驻 渡头 呼 艇子|一溪 浅绿 漾 晴风
